timestamp,cpu_percent,ram_percent,bytes_sent,bytes_recv,process_count,process_list,xmrig_detected,label
2025-11-24T09:39:09.438818,9.87,25.0,5092,13592,136,chrome.exe:4.9:1.6|Code.exe:3.3:2.8|node.exe:2.6:1.8|explorer.exe:1.0:0.9|svchost.exe:0.6:0.1,0,0
2025-11-24T11:44:49.438818,90.66,22.68,14343,14744,175,xmrig.exe:90.4:1.4|chrome.exe:2.9:0.9|svchost.exe:1.3:0.2|explorer.exe:0.7:0.5,1,1
2025-11-24T09:00:39.438818,5.0,25.26,0,36506,157,chrome.exe:7.7:3.2|Code.exe:1.6:2.0|node.exe:1.6:1.8|explorer.exe:1.0:0.7|svchost.exe:0.8:0.4|discord.exe:0.6:0.9,0,0
2025-11-24T10:54:59.438818,90.0,57.19,77685,181757,148,msbuild.exe:30.6:4.5|cl.exe:8.8:3.6|ffmpeg.exe:35.3:4.4|chrome.exe:6.1:3.7|Code.exe:5.0:1.1,0,0
2025-11-24T13:13:59.438818,99.66,68.98,31418,34253,104,xmrig.exe:76.3:1.5|chrome.exe:1.0:1.5|svchost.exe:0.3:0.7|explorer.exe:0.5:0.8,1,1
2025-11-24T07:26:19.438818,26.64,55.89,10193,4693,107,chrome.exe:2.9:1.3|Code.exe:4.8:1.9|node.exe:1.8:2.0|explorer.exe:0.7:0.9|svchost.exe:0.9:0.6,0,0
2025-11-24T08:47:39.438818,15.58,40.68,11365,96576,92,chrome.exe:2.6:2.9|Code.exe:1.9:3.0|node.exe:2.3:0.6|explorer.exe:0.5:0.6|svchost.exe:0.3:0.2|steam.exe:2.4:1.7|discord.exe:1.2:1.1,0,0
2025-11-24T14:13:09.438818,96.14,87.27,30463,34621,174,xmrig.exe:83.0:1.2|chrome.exe:2.5:2.0|svchost.exe:0.9:0.6|explorer.exe:0.6:0.6,1,1
2025-11-24T09:57:09.438818,17.62,64.92,12662,0,134,chrome.exe:1.0:3.5|Code.exe:0.7:2.7|node.exe:1.5:1.7|explorer.exe:1.4:0.2|svchost.exe:0.7:0.1,0,0
2025-11-24T11:04:39.438818,90.0,80.0,29187,595812,111,msbuild.exe:22.4:4.5|cl.exe:6.6:1.3|ffmpeg.exe:20.3:4.1|chrome.exe:5.6:4.0|Code.exe:2.0:1.5|python.exe:3.4:1.3,0,0
2025-11-24T07:41:49.438818,22.14,48.26,9344,24446,82,chrome.exe:6.5:3.6|Code.exe:4.3:1.6|node.exe:2.7:1.0|explorer.exe:0.2:1.1|svchost.exe:0.9:0.1|steam.exe:1.9:1.0,0,0
2025-11-24T08:59:59.438818,43.27,60.86,30671,26498,111,chrome.exe:1.8:2.6|Code.exe:3.6:2.1|node.exe:1.8:1.0|explorer.exe:1.2:0.7|svchost.exe:0.5:0.5,0,0
2025-11-24T10:37:19.438818,64.17,35.0,1677,85010,148,msbuild.exe:23.4:2.1|cl.exe:4.8:2.3|ffmpeg.exe:20.7:8.9|chrome.exe:4.8:3.7|Code.exe:0.9:2.6,0,0
2025-11-24T13:21:59.438818,90.74,82.24,35368,19468,134,miner.exe:81.5:0.8|chrome.exe:1.3:2.0|svchost.exe:0.6:0.1,0,1
2025-11-24T08:17:19.438818,5.0,49.79,6500,0,137,chrome.exe:4.9:1.0|Code.exe:2.0:2.2|node.exe:3.6:1.4|explorer.exe:1.2:0.6|svchost.exe:0.3:0.7,0,0
2025-11-24T08:15:19.438818,47.26,50.33,690,24,84,chrome.exe:0.1:2.8|Code.exe:2.3:1.7|node.exe:2.6:1.6|explorer.exe:1.5:0.5|svchost.exe:0.8:0.5,0,0
2025-11-24T11:08:19.438818,49.4,68.23,5984,134242,141,msbuild.exe:13.2:4.4|cl.exe:16.2:3.0|ffmpeg.exe:42.6:7.7|chrome.exe:3.4:1.1|Code.exe:5.6:1.6,0,0
2025-11-24T09:43:09.438818,23.27,39.81,21622,40041,137,chrome.exe:4.9:2.9|Code.exe:0.5:2.7|node.exe:3.8:0.5|explorer.exe:1.4:0.6|svchost.exe:0.0:0.6,0,0
2025-11-24T10:46:19.438818,81.27,39.81,15418,18235,116,msbuild.exe:16.6:3.6|cl.exe:11.6:3.2|ffmpeg.exe:37.0:9.5|chrome.exe:6.7:3.0|Code.exe:2.9:2.3|python.exe:11.3:2.0,0,0
2025-11-24T11:38:39.438818,87.98,41.9,21336,42651,98,xmrig.exe:87.7:2.4|chrome.exe:2.0:2.9|svchost.exe:0.2:0.7|explorer.exe:0.7:1.0,1,1
2025-11-24T09:16:19.438818,24.92,62.68,8128,10204,80,chrome.exe:5.4:3.6|Code.exe:2.2:2.9|node.exe:2.7:0.8|explorer.exe:1.5:1.1|svchost.exe:0.7:0.5,0,0
2025-11-24T14:03:29.438818,85.0,41.56,33606,27507,161,xmrig.exe:87.3:1.9|chrome.exe:4.3:1.5|svchost.exe:0.1:0.3|explorer.exe:0.3:0.9,1,1
2025-11-24T14:05:49.438818,85.85,85.0,30514,56762,90,xmrig.exe:76.5:2.3|chrome.exe:1.6:2.2|svchost.exe:0.6:0.6|explorer.exe:0.6:0.9,1,1
2025-11-24T11:49:39.438818,85.71,45.2,14915,17053,94,xmrig.exe:88.2:2.9|chrome.exe:2.1:2.5|svchost.exe:0.3:0.6|explorer.exe:0.7:0.6,1,1
